Acquisition Time	Negative Width	Fall Time	Rise Time	Peak-to-Peak
2460951.510578703601	1.8E-8	7.8E-9	2.18E-8	4.640000165E-1
2460951.510613426100	1.68E-8	6.4E-9	2.2E-8	5.360000134E-1
2460951.510636574123	1.55E-8	7.2E-9	2.3E-8	5.60000062E-1
2460951.510706018656	1.8E-8	6.1E-9	2.16E-8	4.23999995E-1
2460951.510775463190	1.83E-8	8.8E-9	2.18E-8	4.720000029E-1
2460951.510810185224	1.37E-8	9.2E-9	2.34E-8	4.320000112E-1
2460951.510844907258	1.9E-8	5.9E-9	2.14E-8	6.880000234E-1
2460951.510891203769	1.88E-8	4.7E-9	2.23E-8	5.760000348E-1
2460951.510925925802	1.94E-8	5.6E-9	2.26E-8	4.000000358E-1
2460951.510960648302	1.44E-8	6.6E-9	2.46E-8	4.320000112E-1
2460951.510983796325	1.65E-8	7.5E-9	1.99E-8	5.040000081E-1
2460951.511018518358	1.69E-8	7.8E-9	2.26E-8	4.640000165E-1
2460951.511099536903	1.72E-8	8.8E-9	2.42E-8	4.160000086E-1
2460951.511134259403	1.69E-8	4.1E-9	2.22E-8	4.080000222E-1
2460951.511168981437	1.61E-8	9.4E-9	1.98E-8	4.00000006E-1
2460951.511203703471	1.39E-8	7.0E-9	2.36E-8	4.400000274E-1
2460951.511238425970	1.76E-8	8.6E-9	2.07E-8	1.1360000372E0
2460951.511273148004	1.77E-8	9.0E-9	2.25E-8	6.960000396E-1
2460951.511307870504	1.69E-8	7.6E-9	2.28E-8	4.320000112E-1
2460951.511342592537	1.8E-8	1.06E-8	2.15E-8	4.399999976E-1
2460951.511377315037	1.83E-8	7.0E-9	2.0E-8	4.400000274E-1
2460951.511423611082	1.81E-8	7.8E-9	1.9E-8	4.00000006E-1
2460951.511458333116	1.75E-8	7.7E-9	2.36E-8	5.040000081E-1
2460951.511562500149	1.98E-8	6.8E-9	2.22E-8	4.480000138E-1
2460951.511597222183	1.8E-8	7.4E-9	2.06E-8	5.040000081E-1
2460951.511631944217	1.73E-8	6.8E-9	2.38E-8	4.320000112E-1
2460951.511666666716	1.66E-8	6.7E-9	2.1E-8	5.120000243E-1
2460951.511701388750	1.57E-8	7.4E-9	2.26E-8	4.960000217E-1
2460951.511747685261	1.53E-8	7.0E-9	2.34E-8	4.320000112E-1
2460951.511782407295	1.71E-8	6.0E-9	2.28E-8	5.120000243E-1
2460951.511805555783	1.72E-8	6.1E-9	2.15E-8	4.960000217E-1
2460951.511840277817	1.76E-8	8.2E-9	2.37E-8	4.399999976E-1
2460951.511874999851	1.74E-8	9.1E-9	1.8E-8	4.960000217E-1
2460951.511909722351	1.84E-8	9.3E-9	2.19E-8	5.520000458E-1
2460951.511979166884	1.79E-8	6.6E-9	2.28E-8	4.640000165E-1
2460951.512013888918	1.52E-8	8.1E-9	2.42E-8	5.920000672E-1
2460951.512048610952	1.71E-8	6.4E-9	2.31E-8	4.5600003E-1
2460951.512094907463	1.81E-8	5.8E-9	2.06E-8	4.240000248E-1
2460951.512129629496	1.81E-8	6.5E-9	2.03E-8	1.2480000257E0
2460951.512164351996	1.72E-8	5.9E-9	2.04E-8	7.120000124E-1
2460951.512233796529	1.87E-8	6.0E-9	2.18E-8	4.720000327E-1
2460951.512268518563	1.83E-8	9.8E-9	2.18E-8	4.160000086E-1
2460951.512314814609	1.84E-8	7.2E-9	2.5E-8	4.560000002E-1
2460951.512349537108	2.07E-8	6.6E-9	2.35E-8	9.520000219E-1
2460951.512384259142	1.65E-8	6.4E-9	2.32E-8	1.0560001135E0
2460951.512465277687	1.93E-8	1.07E-8	2.08E-8	5.680000186E-1
2460951.512511574198	1.83E-8	8.3E-9	2.17E-8	7.200000286E-1
2460951.512534722220	1.73E-8	1.13E-8	2.09E-8	6.000000238E-1
2460951.512569444254	1.93E-8	6.3E-9	2.36E-8	5.200000405E-1
2460951.512604166754	1.71E-8	6.8E-9	2.48E-8	8.160000443E-1
2460951.512650462799	1.71E-8	5.8E-9	2.36E-8	4.000000358E-1
2460951.512719907332	1.72E-8	9.3E-9	2.26E-8	6.800000668E-1
2460951.512754629832	1.93E-8	8.6E-9	2.09E-8	5.920000672E-1
2460951.512789351866	1.69E-8	8.3E-9	2.18E-8	4.240000248E-1
2460951.512835648376	1.49E-8	7.0E-9	2.48E-8	4.00000006E-1
2460951.512870370410	1.84E-8	7.2E-9	2.18E-8	5.120000243E-1
2460951.512893518433	1.79E-8	7.1E-9	2.55E-8	5.920000076E-1
2460951.512939814944	1.85E-8	4.8E-9	2.23E-8	5.120000243E-1
2460951.513020833489	1.67E-8	7.5E-9	2.3E-8	8.640000224E-1
2460951.513055555522	1.83E-8	9.4E-9	2.08E-8	4.240000248E-1
2460951.513090277556	1.64E-8	8.2E-9	2.47E-8	4.480000138E-1
2460951.513125000056	1.65E-8	4.1E-9	2.07E-8	5.360000134E-1
2460951.513159722090	1.76E-8	6.8E-9	2.25E-8	9.280000329E-1
2460951.513194444589	1.75E-8	6.0E-9	2.02E-8	5.60000062E-1
2460951.513229166623	1.61E-8	8.1E-9	2.2E-8	5.520000458E-1
2460951.513275463134	1.8E-8	9.0E-9	2.33E-8	4.960000217E-1
2460951.513310185168	1.86E-8	8.5E-9	2.32E-8	4.560000002E-1
2460951.513344907202	1.82E-8	8.0E-9	2.42E-8	4.000000358E-1
2460951.513379629701	1.95E-8	7.1E-9	1.83E-8	1.0080000162E0
2460951.513414351735	1.77E-8	7.4E-9	2.09E-8	8.240000606E-1
2460951.513472222257	1.94E-8	7.2E-9	2.04E-8	5.760000348E-1
2460951.513495370280	1.67E-8	7.8E-9	2.38E-8	4.160000086E-1
2460951.513530092780	1.88E-8	6.0E-9	2.21E-8	1.0960000753E0
2460951.513564814813	1.53E-8	8.0E-9	2.22E-8	4.160000086E-1
2460951.513599536847	1.74E-8	6.8E-9	1.84E-8	4.800000191E-1
2460951.513634259347	1.87E-8	5.8E-9	2.2E-8	5.60000062E-1
2460951.513668981381	1.95E-8	8.2E-9	2.58E-8	5.040000081E-1
2460951.513715277892	1.72E-8	6.4E-9	1.97E-8	6.800000072E-1
2460951.513749999925	1.88E-8	7.0E-9	2.48E-8	6.320000291E-1
2460951.513784722425	1.81E-8	8.4E-9	2.49E-8	4.800000191E-1
2460951.513819444459	1.82E-8	6.4E-9	2.16E-8	4.480000138E-1
2460951.513854166493	1.89E-8	5.6E-9	2.06E-8	5.040000081E-1
2460951.513888888992	1.96E-8	9.2E-9	2.12E-8	5.760000348E-1
2460951.513923611026	1.49E-8	6.4E-9	2.56E-8	4.160000086E-1
2460951.513946759049	1.38E-8	1.1E-8	2.09E-8	5.280000567E-1
2460951.513981481548	1.51E-8	6.4E-9	2.52E-8	5.200000405E-1
2460951.514050926082	1.78E-8	9.9E-9	2.18E-8	4.399999976E-1
2460951.514085648116	1.79E-8	8.1E-9	2.38E-8	7.599999905E-1
2460951.514120370150	1.8E-8	9.5E-9	2.52E-8	5.120000243E-1
2460951.514155092649	1.67E-8	7.9E-9	2.14E-8	7.520000339E-1
2460951.514201388694	1.56E-8	7.9E-9	2.14E-8	5.60000062E-1
2460951.514236111194	1.9E-8	6.5E-9	2.02E-8	9.680000544E-1
2460951.514305555727	1.74E-8	7.4E-9	2.12E-8	4.320000112E-1
2460951.514386574272	1.95E-8	8.0E-9	1.95E-8	5.360000134E-1
2460951.514421296306	1.6E-8	6.6E-9	2.5E-8	4.720000029E-1
2460951.514456018340	1.98E-8	6.4E-9	2.27E-8	4.960000217E-1
2460951.514490740839	1.77E-8	9.4E-9	2.22E-8	4.640000165E-1
2460951.514571759384	1.41E-8	8.2E-9	2.14E-8	6.159999967E-1
2460951.514606481418	1.97E-8	7.8E-9	1.88E-8	4.079999924E-1
2460951.514641203918	1.57E-8	7.4E-9	2.5E-8	4.320000112E-1
2460951.514722221997	1.87E-8	6.8E-9	2.02E-8	4.399999976E-1
2460951.514756944496	1.88E-8	7.0E-9	1.83E-8	4.160000086E-1
2460951.514826389030	1.54E-8	8.2E-9	1.77E-8	4.320000112E-1
2460951.514849537052	1.41E-8	8.3E-9	2.2E-8	4.560000002E-1
2460951.514884259086	1.72E-8	8.6E-9	2.34E-8	4.399999976E-1
2460951.514918981586	1.84E-8	6.4E-9	2.11E-8	8.720000386E-1
2460951.514953703620	1.9E-8	7.7E-9	2.38E-8	4.320000112E-1
2460951.514988426119	2.03E-8	7.8E-9	2.3E-8	5.120000243E-1
2460951.515023148153	1.96E-8	9.9E-9	2.32E-8	7.120000124E-1
2460951.515081018675	1.65E-8	5.4E-9	2.38E-8	4.560000002E-1
2460951.515115740709	1.99E-8	6.6E-9	1.86E-8	4.880000055E-1
2460951.515150462743	1.68E-8	9.0E-9	2.42E-8	4.080000222E-1
2460951.515185185242	1.55E-8	7.0E-9	2.48E-8	5.120000243E-1
2460951.515219907276	1.93E-8	1.1E-8	1.91E-8	5.920000672E-1
2460951.515289351810	1.66E-8	7.2E-9	2.08E-8	4.320000112E-1
2460951.515324073844	1.69E-8	5.3E-9	2.42E-8	4.800000191E-1
2460951.515416666865	1.76E-8	9.3E-9	2.38E-8	8.960000873E-1
2460951.515451388899	1.74E-8	9.9E-9	2.36E-8	4.160000086E-1
2460951.515486110933	1.94E-8	5.4E-9	2.24E-8	4.079999924E-1
2460951.515532407444	1.74E-8	6.6E-9	2.16E-8	4.880000055E-1
2460951.515555555467	1.56E-8	6.9E-9	2.38E-8	5.839999914E-1
2460951.515590277966	1.67E-8	5.8E-9	2.0E-8	4.399999976E-1
2460951.515659722034	1.96E-8	6.6E-9	2.16E-8	1.5040000677E0
2460951.515694444533	1.84E-8	8.1E-9	2.43E-8	4.560000002E-1
2460951.515729166567	1.86E-8	8.4E-9	1.72E-8	5.200000405E-1
2460951.515763889067	1.65E-8	6.4E-9	2.4E-8	4.320000112E-1
2460951.515798611101	1.82E-8	1.08E-8	2.2E-8	4.480000138E-1
2460951.515833333135	1.62E-8	7.2E-9	2.17E-8	5.360000134E-1
2460951.515868055634	1.71E-8	6.0E-9	1.84E-8	4.240000248E-1
2460951.515902777668	1.62E-8	6.6E-9	2.44E-8	4.080000222E-1
2460951.515972222202	1.64E-8	7.8E-9	2.1E-8	4.320000112E-1
2460951.516006944235	1.99E-8	7.2E-9	2.12E-8	4.23999995E-1
2460951.516041666735	1.79E-8	6.4E-9	2.26E-8	7.12000072E-1
2460951.516076388769	1.79E-8	7.6E-9	2.16E-8	4.00000006E-1
2460951.516111111268	1.8E-8	6.2E-9	2.05E-8	4.160000086E-1
2460951.516157407314	1.75E-8	5.7E-9	2.27E-8	6.480000615E-1
2460951.516226851847	1.87E-8	8.4E-9	2.16E-8	8.720000386E-1
2460951.516261573881	1.6E-8	7.0E-9	2.45E-8	6.560000181E-1
2460951.516307870392	1.9E-8	1.1E-8	2.14E-8	1.0560001135E0
2460951.516342592426	1.54E-8	7.0E-9	2.2E-8	4.00000006E-1
2460951.516423610970	1.98E-8	9.6E-9	2.54E-8	4.080000222E-1
2460951.516469907481	1.67E-8	7.0E-9	2.31E-8	4.160000086E-1
2460951.516504629515	1.71E-8	5.6E-9	2.58E-8	4.080000222E-1
2460951.516585648060	1.98E-8	9.6E-9	2.16E-8	1.3520001173E0
2460951.516620370559	1.63E-8	7.5E-9	2.32E-8	5.520000458E-1
2460951.516655092593	1.67E-8	8.4E-9	1.95E-8	6.240000725E-1
2460951.516689814627	1.81E-8	1.14E-8	2.1E-8	5.040000081E-1
2460951.516724537127	1.4E-8	8.6E-9	2.5E-8	5.60000062E-1
2460951.516759259161	1.62E-8	5.7E-9	2.1E-8	4.000000358E-1
2460951.516793981660	1.91E-8	1.06E-8	2.32E-8	4.560000002E-1
2460951.516840277705	1.71E-8	9.0E-9	2.22E-8	7.12000072E-1
2460951.516875000205	1.67E-8	6.1E-9	2.54E-8	1.1360000372E0
2460951.516909722239	1.6E-8	8.1E-9	2.42E-8	5.040000081E-1
2460951.516956018284	1.66E-8	4.8E-9	2.46E-8	1.0E0
2460951.516990740784	1.5E-8	1.07E-8	2.2E-8	4.00000006E-1
2460951.517037036829	1.69E-8	4.6E-9	1.88E-8	4.480000138E-1
2460951.517071759328	1.28E-8	6.8E-9	2.48E-8	4.400000274E-1
2460951.517152777873	1.79E-8	6.9E-9	2.62E-8	5.60000062E-1
2460951.517187499907	1.66E-8	8.0E-9	2.24E-8	7.040000558E-1
2460951.517222222406	1.46E-8	1.06E-8	2.1E-8	4.00000006E-1
2460951.517291666474	1.83E-8	8.5E-9	1.92E-8	4.560000002E-1
2460951.517326388974	1.79E-8	7.3E-9	1.98E-8	4.160000086E-1
2460951.517372685019	1.66E-8	1.1E-8	2.23E-8	4.720000029E-1
2460951.517407407518	1.56E-8	8.8E-9	2.02E-8	4.320000112E-1
2460951.517442129552	1.64E-8	8.4E-9	1.78E-8	4.23999995E-1
2460951.517488426063	1.52E-8	6.8E-9	2.11E-8	4.00000006E-1
2460951.517557870597	1.58E-8	8.4E-9	2.12E-8	4.00000006E-1
2460951.517615740653	1.56E-8	8.4E-9	2.28E-8	6.960000396E-1
2460951.517662037164	1.74E-8	6.6E-9	2.02E-8	8.800000548E-1
2460951.517708333209	2.08E-8	9.9E-9	2.31E-8	5.040000081E-1
2460951.517731481697	2.01E-8	5.6E-9	2.4E-8	5.60000062E-1
2460951.517777777743	1.44E-8	7.3E-9	2.24E-8	6.000000238E-1
2460951.517812499776	1.69E-8	6.6E-9	2.14E-8	6.320000291E-1
2460951.517847222276	1.78E-8	8.2E-9	1.71E-8	4.079999924E-1
2460951.517881944310	1.93E-8	8.4E-9	1.9E-8	4.640000165E-1
2460951.517916666809	1.9E-8	1.06E-8	2.38E-8	4.23999995E-1
2460951.517951388843	1.84E-8	8.8E-9	2.3E-8	5.360000134E-1
2460951.517986111343	2.09E-8	6.4E-9	1.8E-8	4.480000138E-1
2460951.518020833377	1.6E-8	6.9E-9	2.12E-8	5.680000186E-1
2460951.518055555411	1.88E-8	7.4E-9	2.14E-8	4.240000248E-1
2460951.518124999944	2.01E-8	1.0E-8	2.18E-8	4.240000248E-1
2460951.518148147967	1.63E-8	7.0E-9	2.4E-8	8.000000119E-1
2460951.518182870466	1.69E-8	7.0E-9	2.18E-8	4.23999995E-1
2460951.518217592500	1.82E-8	8.8E-9	2.24E-8	5.440000296E-1
2460951.518321759067	1.71E-8	8.1E-9	2.37E-8	6.640000343E-1
2460951.518356481567	1.74E-8	9.2E-9	1.81E-8	5.680000186E-1
2460951.518391203601	1.72E-8	1.01E-8	2.14E-8	4.5600003E-1
2460951.518437500112	1.78E-8	9.0E-9	2.56E-8	8.88000071E-1
2460951.518483796157	2.03E-8	7.3E-9	2.26E-8	1.2160000801E0
2460951.518518518656	1.54E-8	8.2E-9	2.07E-8	4.23999995E-1
2460951.518587963190	1.5E-8	8.0E-9	2.36E-8	4.00000006E-1
