Acquisition Time [days]	Negative Width ["s"]	Fall Time ["s"]	Rise Time ["s"]	Peak-to-Peak ["V"]	Acquisition Time [days]	Negative Width ["s"]	Fall Time ["s"]	Rise Time ["s"]	Peak-to-Peak ["V"]
2460957.643622685224	2.0E-8	8.9E-9	2.15E-8	2.0599999428E0	2460957.643622685224	1.71E-8	7.2E-9	1.61E-8	2.4399998188E0
2460957.643877314869	1.92E-8	6.8E-9	2.15E-8	2.6999998093E0	2460957.643877314869	1.6E-8	8.5E-9	2.65E-8	2.2799999714E0
2460957.643969907425	1.47E-8	1.04E-8	1.32E-8	1.6599999666E0	2460957.643969907425	1.48E-8	6.5E-9	2.15E-8	1.3199999332E0
2460957.644074073993	1.73E-8	7.7E-9	2.5E-8	2.0199999809E0	2460957.644074073993	1.4E-8	8.3E-9	1.79E-8	1.0399999619E0
2460957.644120370504	1.9E-8	1.13E-8	1.99E-8	1.939999938E0	2460957.644120370504	1.81E-8	6.2E-9	1.86E-8	2.3599998951E0
2460957.644166666549	1.89E-8	1.08E-8	2.15E-8	2.0399999619E0	2460957.644166666549	1.65E-8	1.05E-8	1.74E-8	1.7799998522E0
2460957.644270833116	1.56E-8	6.5E-9	1.67E-8	2.1399998665E0	2460957.644270833116	1.68E-8	9.0E-9	1.74E-8	1.879999876E0
2460957.644317129627	1.73E-8	1.03E-8	2.06E-8	2.3599998951E0	2460957.644317129627	1.61E-8	8.0E-9	1.97E-8	2.6799998283E0
2460957.644421296194	1.72E-8	3.3E-9	1.42E-8	3.0199999809E0	2460957.644421296194	2.4E-9	8.5E-9	2.2E-8	1.3199999332E0
2460957.644467592705	1.5E-8	8.9E-9	2.15E-8	2.0799999237E0	2460957.644467592705	2.06E-8	1.1E-8	1.75E-8	1.0399999619E0
2460957.644618055783	1.66E-8	8.4E-9	2.53E-8	1.9199999571E0	2460957.644618055783	1.79E-8	7.2E-9	2.71E-8	1.0999999046E0
2460957.644722222351	1.89E-8	1.15E-8	1.71E-8	2.5999999046E0	2460957.644722222351	1.93E-8	7.1E-9	1.97E-8	1.6999999285E0
2460957.644814814907	1.96E-8	7.8E-9	2.22E-8	3.5799999237E0	2460957.644814814907	1.7E-8	7.1E-9	2.39E-8	2.8399999142E0
