Acquisition Time [days]	Negative Width ["s"]	Fall Time ["s"]	Rise Time ["s"]	Peak-to-Peak ["V"]	Acquisition Time [days]	Negative Width ["s"]	Fall Time ["s"]	Rise Time ["s"]	Peak-to-Peak ["V"]
2460957.655231481418	2.09E-8	1.05E-8	2.64E-8	1.8599998951E0	2460957.655231481418	1.6E-8	6.4E-9	1.5E-8	1.7799998522E0
2460957.655289351940	1.7E-8	9.0E-9	2.35E-8	2.6799998283E0	2460957.655289351940	1.35E-8	7.5E-9	1.92E-8	1.1799999475E0
2460957.655381944496	1.85E-8	4.4E-9	1.8E-8	2.0199999809E0	2460957.655381944496	1.85E-8	8.4E-9	2.37E-8	2.4599997997E0
2460957.655532407574	1.91E-8	8.4E-9	2.27E-8	1.5799999237E0	2460957.655532407574	3.0E-9	7.5E-9	2.16E-8	1.5399999619E0
2460957.655578703620	1.85E-8	1.17E-8	2.21E-8	2.0999999046E0	2460957.655578703620	1.4E-8	7.5E-9	1.97E-8	2.1399998665E0
2460957.655625000130	1.51E-8	7.3E-9	2.06E-8	1.5199999809E0	2460957.655625000130	1.83E-8	7.6E-9	1.69E-8	1.6799999475E0
2460957.655682870187	1.65E-8	1.07E-8	1.98E-8	2.0199999809E0	2460957.655682870187	1.59E-8	1.45E-8	1.53E-8	1.4999998808E0
2460957.655775462743	1.69E-8	9.5E-9	1.85E-8	1.4999998808E0	2460957.655775462743	2.02E-8	9.1E-9	2.27E-8	1.5E0
2460957.655879629776	1.59E-8	5.7E-9	1.66E-8	2.5799999237E0	2460957.655879629776	1.59E-8	8.1E-9	1.73E-8	1.7599998713E0
2460957.655925925821	1.9E-8	1.34E-8	2.57E-8	3.2999999523E0	2460957.655925925821	1.98E-8	7.5E-9	1.9E-8	3.6399998665E0
2460957.656030092388	1.86E-8	8.0E-9	1.55E-8	3.2400000095E0	2460957.656030092388	1.86E-8	1.01E-8	1.73E-8	1.4999998808E0
2460957.656076388899	1.85E-8	7.9E-9	2.19E-8	1.6599999666E0	2460957.656076388899	1.44E-8	7.7E-9	2.79E-8	1.1199998856E0
2460957.656122685410	1.63E-8	1.09E-8	1.56E-8	2.3199999332E0	2460957.656122685410	1.62E-8	5.1E-9	1.71E-8	1.3199999332E0
2460957.656273148023	1.77E-8	1.19E-8	2.27E-8	2.2200000286E0	2460957.656273148023	1.69E-8	7.2E-9	2.22E-8	1.8999998569E0
2460957.656423611101	1.32E-8	7.8E-9	2.79E-8	1.4799998999E0	2460957.656423611101	1.61E-8	9.7E-9	1.9E-8	1.2599998713E0
2460957.656469907612	1.83E-8	7.5E-9	1.9E-8	3.2199997902E0	2460957.656469907612	1.35E-8	5.6E-9	2.23E-8	1.3200000525E0
2460957.656620370224	1.76E-8	9.8E-9	2.43E-8	1.7199999094E0	2460957.656620370224	1.96E-8	5.7E-9	2.25E-8	1.1999999285E0
2460957.656770833302	1.54E-8	5.8E-9	1.7E-8	1.7999999523E0	2460957.656770833302	1.48E-8	1.06E-8	1.99E-8	3.2999999523E0
2460957.656817129813	1.92E-8	8.1E-9	1.61E-8	2.7199997902E0	2460957.656817129813	1.61E-8	7.1E-9	2.64E-8	2.2799999714E0
2460957.656874999870	2.12E-8	6.8E-9	2.52E-8	3.6999998093E0	2460957.656874999870	1.9E-8	8.5E-9	1.93E-8	3.879999876E0
2460957.656967592426	1.57E-8	6.0E-9	1.61E-8	1.6199998856E0	2460957.656967592426	4.9E-9	6.8E-9	2.01E-8	1.2799999714E0
2460957.657025462948	8.1E-9	1.46E-8	2.08E-8	1.1799999475E0	2460957.657025462948	1.47E-8	8.2E-9	1.2E-8	1.0E0
2460957.657071759459	2.04E-8	1.49E-8	1.78E-8	1.3599998951E0	2460957.657071759459	1.82E-8	7.0E-9	2.58E-8	1.5599999428E0
2460957.657222222071	1.74E-8	6.3E-9	2.48E-8	3.3199999332E0	2460957.657222222071	1.71E-8	8.7E-9	2.1E-8	3.879999876E0
2460957.657268518582	1.86E-8	1.09E-8	2.07E-8	2.5799999237E0	2460957.657268518582	1.68E-8	1.16E-8	1.5E-8	2.0999999046E0
2460957.657314814627	1.84E-8	6.0E-9	2.66E-8	2.0799999237E0	2460957.657314814627	2.19E-8	1.01E-8	1.95E-8	1.3199999332E0
2460957.657372685149	1.51E-8	1.15E-8	2.7E-8	2.1199998856E0	2460957.657372685149	1.75E-8	4.2E-9	3.39E-8	1.4199999571E0
2460957.657418981660	1.45E-8	1.06E-8	2.17E-8	1.6999999285E0	2460957.657418981660	1.87E-8	5.9E-9	1.74E-8	1.0399999619E0
2460957.657569444273	1.56E-8	6.7E-9	1.9E-8	1.7999999523E0	2460957.657569444273	1.72E-8	1.23E-8	2.04E-8	1.9199999571E0
2460957.657662036829	1.63E-8	7.1E-9	2.06E-8	1.7799999714E0	2460957.657662036829	1.58E-8	7.0E-9	2.45E-8	2.5799999237E0
2460957.658009259030	1.76E-8	5.1E-9	2.23E-8	1.5599999428E0	2460957.658009259030	1.61E-8	8.5E-9	2.12E-8	1.6800000668E0
2460957.658148148097	1.91E-8	8.3E-9	2.16E-8	1.3399999142E0	2460957.658148148097	2.17E-8	6.0E-9	1.96E-8	1.0199999809E0
2460957.658206018619	1.76E-8	7.7E-9	2.04E-8	1.5599999428E0	2460957.658206018619	1.78E-8	8.0E-9	2.54E-8	2.0399999619E0
2460957.658252314664	1.75E-8	4.4E-9	2.73E-8	1.9599999189E0	2460957.658252314664	1.4E-8	6.9E-9	1.61E-8	1.4600000381E0
2460957.658356481697	1.69E-8	1.04E-8	2.14E-8	1.6599999666E0	2460957.658356481697	1.59E-8	1.04E-8	1.93E-8	2.879999876E0
2460957.658495370299	1.73E-8	9.4E-9	2.38E-8	2.6799998283E0	2460957.658495370299	2.06E-8	8.2E-9	2.32E-8	1.3599998951E0
2460957.658645833377	1.49E-8	1.13E-8	1.63E-8	2.4399998188E0	2460957.658645833377	1.66E-8	9.8E-9	2.56E-8	1.8200000525E0
2460957.658796296455	1.71E-8	9.2E-9	1.68E-8	2.1199998856E0	2460957.658796296455	1.97E-8	6.1E-9	1.37E-8	1.3599998951E0
2460957.658842592500	1.87E-8	6.7E-9	2.53E-8	1.3399999142E0	2460957.658842592500	1.65E-8	7.6E-9	2.2E-8	1.5399999619E0
2460957.658946759067	1.79E-8	6.1E-9	1.77E-8	1.5599999428E0	2460957.658946759067	1.74E-8	6.3E-9	2.13E-8	2.6799998283E0
2460957.658993055578	1.8E-8	9.5E-9	2.15E-8	1.9599999189E0	2460957.658993055578	1.73E-8	8.1E-9	2.43E-8	1.3599998951E0
2460957.659039351624	1.91E-8	8.1E-9	2.18E-8	1.8399999142E0	2460957.659039351624	1.52E-8	9.1E-9	1.49E-8	1.2799999714E0
2460957.659097222146	1.9E-8	8.9E-9	2.52E-8	2.2599999905E0	2460957.659097222146	1.72E-8	6.5E-9	3.3E-8	1.6599999666E0
2460957.659143518656	1.84E-8	8.0E-9	2.09E-8	1.6199998856E0	2460957.659143518656	1.46E-8	9.6E-9	2.49E-8	1.3400000334E0
2460957.659189814702	1.64E-8	5.6E-9	3.06E-8	1.879999876E0	2460957.659189814702	1.7E-8	1.03E-8	2.1E-8	2.2400000095E0
2460957.659247685224	1.87E-8	1.21E-8	2.01E-8	1.7399998903E0	2460957.659247685224	1.55E-8	7.6E-9	2.19E-8	1.7799998522E0
2460957.659293981269	1.67E-8	1.08E-8	1.68E-8	1.4599999189E0	2460957.659293981269	1.61E-8	6.1E-9	2.78E-8	1.5399999619E0
2460957.659340277780	1.66E-8	6.5E-9	1.61E-8	1.7799999714E0	2460957.659340277780	1.78E-8	8.4E-9	2.06E-8	2.2400000095E0
2460957.659444444347	1.4E-8	1.08E-8	1.53E-8	3.0199999809E0	2460957.659444444347	1.59E-8	1.1E-8	2.52E-8	2.3399999142E0
2460957.659594907425	1.66E-8	1.23E-8	1.36E-8	1.1999999285E0	2460957.659594907425	1.9E-8	5.9E-9	1.52E-8	1.8399999142E0
2460957.659687499981	1.6E-8	1.18E-8	2.13E-8	2.2200000286E0	2460957.659687499981	1.88E-8	7.4E-9	2.1E-8	1.3599998951E0
2460957.659791666549	1.81E-8	7.7E-9	2.0E-8	1.5199999809E0	2460957.659791666549	1.47E-8	1.06E-8	2.98E-8	1.2000000477E0
2460957.659837963060	2.29E-8	8.3E-9	2.35E-8	1.5799999237E0	2460957.659837963060	1.64E-8	9.8E-9	1.59E-8	1.3599998951E0
2460957.659884259105	1.64E-8	4.1E-9	2.2E-8	1.439999938E0	2460957.659884259105	1.44E-8	6.8E-9	1.66E-8	1.7200000286E0
2460957.659988426138	1.4E-8	7.2E-9	1.24E-8	1.7399998903E0	2460957.659988426138	1.9E-8	7.4E-9	2.3E-8	1.2799999714E0
2460957.660081018694	1.44E-8	4.5E-9	2.2E-8	1.8399999142E0	2460957.660081018694	1.35E-8	9.5E-9	1.74E-8	1.2199999094E0
2460957.660185185261	1.99E-8	6.2E-9	2.66E-8	1.4999998808E0	2460957.660185185261	1.33E-8	7.4E-9	2.18E-8	2.0399999619E0
2460957.660277777817	1.74E-8	1.0E-8	1.73E-8	1.5199999809E0	2460957.660277777817	9.3E-9	7.6E-9	1.83E-8	1.5800000429E0
2460957.660381944384	1.93E-8	6.3E-9	1.87E-8	2.2400000095E0	2460957.660381944384	1.74E-8	9.6E-9	2.6E-8	1.9800000191E0
2460957.660428240895	1.65E-8	9.4E-9	2.3E-8	3.0999999046E0	2460957.660428240895	1.88E-8	6.8E-9	2.14E-8	1.5599999428E0
2460957.660486110952	1.83E-8	7.8E-9	1.97E-8	1.7799999714E0	2460957.660486110952	1.83E-8	1.03E-8	1.04E-8	1.0399999619E0
2460957.660625000019	2.13E-8	6.7E-9	1.93E-8	1.5399999619E0	2460957.660625000019	1.63E-8	7.3E-9	1.47E-8	1.8199999332E0
2460957.660821759142	1.96E-8	6.2E-9	2.24E-8	2.2799999714E0	2460957.660821759142	1.53E-8	8.4E-9	2.12E-8	2.1399998665E0
2460957.660868055653	1.78E-8	8.2E-9	1.91E-8	1.439999938E0	2460957.660868055653	1.3E-8	1.36E-8	1.71E-8	1.6799999475E0
2460957.660972222220	1.52E-8	6.9E-9	2.16E-8	1.5599999428E0	2460957.660972222220	1.96E-8	1.07E-8	1.88E-8	1.0800000429E0
2460957.661018518731	1.6E-8	9.7E-9	2.07E-8	2.7400000095E0	2460957.661018518731	1.66E-8	8.1E-9	2.96E-8	2.5E0
2460957.661076388787	1.65E-8	8.0E-9	2.47E-8	2.4800000191E0	2460957.661076388787	1.51E-8	8.5E-9	1.56E-8	1.0E0
2460957.661122685298	1.91E-8	1.49E-8	1.32E-8	1.6999999285E0	2460957.661122685298	1.64E-8	8.0E-9	2.04E-8	1.5399999619E0
2460957.661215277854	2.04E-8	5.2E-9	1.85E-8	1.7599998713E0	2460957.661215277854	2.1E-8	1.04E-8	1.88E-8	2.0799999237E0
2460957.661319444422	1.56E-8	5.9E-9	1.72E-8	1.5799999237E0	2460957.661319444422	1.88E-8	7.6E-9	2.31E-8	1.6999999285E0
2460957.661423610989	1.87E-8	6.6E-9	2.09E-8	1.939999938E0	2460957.661423610989	1.88E-8	9.1E-9	2.41E-8	3.3399999142E0
2460957.661516203545	1.79E-8	7.4E-9	1.68E-8	2.0999999046E0	2460957.661516203545	2.07E-8	1.06E-8	1.84E-8	2.0199999809E0
2460957.661562500056	2.1E-8	6.6E-9	2.49E-8	2.2400000095E0	2460957.661562500056	1.46E-8	8.0E-9	2.14E-8	1.9999998808E0
2460957.661620370578	2.25E-8	7.0E-9	2.14E-8	2.2799999714E0	2460957.661620370578	1.36E-8	8.9E-9	1.69E-8	1.7599998713E0
2460957.661666666623	2.03E-8	1.08E-8	2.26E-8	1.9199999571E0	2460957.661666666623	1.35E-8	8.1E-9	2.06E-8	1.5399999619E0
2460957.661770833191	1.71E-8	9.3E-9	2.59E-8	1.5999999046E0	2460957.661770833191	1.63E-8	5.7E-9	1.83E-8	2.879999876E0
2460957.661967592780	1.74E-8	8.9E-9	1.81E-8	1.6799999475E0	2460957.661967592780	1.65E-8	7.6E-9	1.64E-8	1.6799999475E0
2460957.662060185336	1.73E-8	6.6E-9	2.43E-8	1.5399999619E0	2460957.662060185336	1.53E-8	5.8E-9	1.91E-8	1.6199998856E0
2460957.662106481381	1.85E-8	1.0E-8	2.7E-8	2.379999876E0	2460957.662106481381	1.51E-8	5.6E-9	2.05E-8	2.1599998474E0
2460957.662164351903	1.54E-8	6.6E-9	2.4E-8	1.6799999475E0	2460957.662164351903	1.43E-8	8.3E-9	1.96E-8	1.9199999571E0
2460957.662210647948	1.78E-8	9.3E-9	1.66E-8	2.6999998093E0	2460957.662210647948	1.17E-8	9.0E-9	1.91E-8	1.6799999475E0
2460957.662314814981	1.82E-8	1.38E-8	1.73E-8	2.0799999237E0	2460957.662314814981	1.78E-8	1.04E-8	1.74E-8	1.8599998951E0
2460957.662557870150	2.07E-8	6.9E-9	1.96E-8	1.3599998951E0	2460957.662557870150	1.88E-8	1.21E-8	2.02E-8	2.379999876E0
2460957.662604166660	1.83E-8	9.6E-9	2.02E-8	2.0999999046E0	2460957.662604166660	1.78E-8	6.5E-9	2.29E-8	1.8599998951E0
2460957.662708333228	1.62E-8	7.1E-9	2.23E-8	2.3199999332E0	2460957.662708333228	1.98E-8	9.0E-9	1.71E-8	1.2599999905E0
2460957.662858796306	2.03E-8	7.7E-9	2.0E-8	2.4399998188E0	2460957.662858796306	1.57E-8	8.7E-9	2.28E-8	1.4599999189E0
2460957.662951388862	1.92E-8	7.4E-9	1.95E-8	1.6399999857E0	2460957.662951388862	1.51E-8	7.1E-9	1.21E-8	1.4799998999E0
2460957.663009259384	2.02E-8	4.8E-9	1.66E-8	1.4799998999E0	2460957.663009259384	1.9E-8	1.02E-8	2.15E-8	3.1199998856E0
2460957.663101851940	1.8E-8	1.43E-8	2.58E-8	1.1399999857E0	2460957.663101851940	1.64E-8	8.7E-9	2.41E-8	1.8400000334E0
2460957.663148147985	2.0E-8	1.06E-8	2.14E-8	2.1199998856E0	2460957.663148147985	2.12E-8	6.8E-9	2.7E-8	1.7599998713E0
2460957.663206018507	1.84E-8	1.11E-8	2.36E-8	3.9799997807E0	2460957.663206018507	8.8E-9	1.01E-8	1.96E-8	1.0999999046E0
2460957.663298611064	1.74E-8	7.2E-9	2.8E-8	1.4599999189E0	2460957.663298611064	1.69E-8	7.1E-9	2.76E-8	1.3999999762E0
2460957.663402777631	1.63E-8	8.2E-9	2.3E-8	3.5799999237E0	2460957.663402777631	1.87E-8	8.2E-9	1.37E-8	3.2999999523E0
2460957.663495370187	1.99E-8	1.23E-8	2.15E-8	2.1599998474E0	2460957.663495370187	1.91E-8	1.11E-8	1.86E-8	1.2599998713E0
2460957.663553240709	1.81E-8	1.36E-8	2.11E-8	1.8399999142E0	2460957.663553240709	1.49E-8	7.9E-9	2.25E-8	1.5799999237E0
2460957.663749999832	1.86E-8	1.14E-8	2.61E-8	2.0999999046E0	2460957.663749999832	1.54E-8	1.09E-8	2.25E-8	1.8600000143E0
2460957.663796296343	1.9E-8	1.05E-8	2.54E-8	2.5999999046E0	2460957.663796296343	1.77E-8	8.2E-9	1.87E-8	2.6999998093E0
2460957.663888888899	1.41E-8	7.2E-9	1.83E-8	1.4199999571E0	2460957.663888888899	1.81E-8	7.0E-9	2.75E-8	1.7399998903E0
2460957.663993055467	1.4E-8	6.3E-9	2.56E-8	1.5999999046E0	2460957.663993055467	1.43E-8	1.05E-8	2.38E-8	1.1399998665E0
2460957.664039351977	2.03E-8	4.1E-9	1.57E-8	1.439999938E0	2460957.664039351977	1.58E-8	7.0E-9	2.64E-8	1.1599999666E0
2460957.664189814590	1.62E-8	6.4E-9	2.89E-8	1.5199999809E0	2460957.664189814590	1.59E-8	6.6E-9	1.28E-8	1.5399999619E0
2460957.664537037257	1.9E-8	1.13E-8	2.21E-8	3.9199998379E0	2460957.664537037257	1.46E-8	6.9E-9	2.46E-8	2.0599999428E0
2460957.664583333302	1.91E-8	1.01E-8	2.56E-8	3.2999999523E0	2460957.664583333302	1.81E-8	8.2E-9	1.81E-8	3.5199999809E0
2460957.664641203824	1.66E-8	6.3E-9	2.09E-8	1.8999999762E0	2460957.664641203824	1.57E-8	6.3E-9	1.19E-8	1.4800000191E0
2460957.664687499870	1.75E-8	5.5E-9	1.86E-8	1.4199999571E0	2460957.664687499870	2.14E-8	4.2E-9	1.81E-8	1.3799999952E0
2460957.664733796380	1.83E-8	9.6E-9	2.23E-8	2.7599999905E0	2460957.664733796380	1.26E-8	1.21E-8	2.09E-8	1.7199999094E0
2460957.664780092426	2.11E-8	8.5E-9	2.76E-8	1.4599999189E0	2460957.664780092426	1.66E-8	1.16E-8	2.14E-8	1.4199999571E0
2460957.664884259459	1.85E-8	8.5E-9	2.02E-8	2.0999999046E0	2460957.664884259459	1.48E-8	9.0E-9	1.76E-8	1.5799999237E0
2460957.664930555504	1.54E-8	6.9E-9	2.2E-8	2.9399998188E0	2460957.664930555504	1.62E-8	8.8E-9	1.65E-8	3.4999997616E0
2460957.665081018582	2.24E-8	1.11E-8	1.7E-8	1.7599998713E0	2460957.665081018582	1.62E-8	7.8E-9	2.25E-8	1.4400000572E0
2460957.665173611138	2.44E-8	4.0E-9	1.79E-8	1.3999999762E0	2460957.665173611138	1.44E-8	9.5E-9	1.42E-8	1.3199999332E0
2460957.665243055671	1.61E-8	1.1E-8	2.19E-8	1.5199999809E0	2460957.665243055671	1.6E-8	1.06E-8	1.83E-8	1.5799999237E0
2460957.665347222239	1.86E-8	8.4E-9	2.07E-8	1.0199999809E0	2460957.665347222239	1.81E-8	5.3E-9	1.82E-8	2.6599998474E0
2460957.665497685317	1.69E-8	1.01E-8	2.22E-8	1.9999998808E0	2460957.665497685317	1.63E-8	8.0E-9	2.73E-8	1.3399999142E0
2460957.665787036996	1.78E-8	7.7E-9	1.88E-8	2.3599998951E0	2460957.665787036996	1.44E-8	7.9E-9	2.39E-8	2.2400000095E0
2460957.665891203564	1.77E-8	6.8E-9	2.84E-8	3.5399999619E0	2460957.665891203564	1.54E-8	9.0E-9	2.43E-8	1.8999999762E0
2460957.665983796120	1.8E-8	8.6E-9	2.09E-8	2.1199998856E0	2460957.665983796120	1.05E-8	9.1E-9	2.36E-8	2.2199997902E0
2460957.666226851754	1.68E-8	9.5E-9	2.06E-8	3.3199999332E0	2460957.666226851754	1.7E-8	8.0E-9	1.57E-8	2.5E0
2460957.666284722276	1.97E-8	1.13E-8	2.11E-8	1.8399999142E0	2460957.666284722276	1.77E-8	9.3E-9	1.85E-8	1.2999999523E0
2460957.666331018321	1.51E-8	8.7E-9	2.24E-8	2.2200000286E0	2460957.666331018321	1.24E-8	9.1E-9	1.77E-8	1.9799998999E0
2460957.666435185354	1.62E-8	7.8E-9	2.14E-8	1.8799999952E0	2460957.666435185354	1.64E-8	8.4E-9	2.04E-8	1.6999999285E0
2460957.666481481399	1.39E-8	9.5E-9	2.6E-8	1.5999999046E0	2460957.666481481399	2.09E-8	1.07E-8	2.19E-8	1.0799999237E0
2460957.666527777910	1.47E-8	9.1E-9	2.13E-8	1.6399999857E0	2460957.666527777910	1.98E-8	7.7E-9	2.3E-8	1.3199999332E0
2460957.666585647967	1.7E-8	1.21E-8	1.43E-8	1.6999999285E0	2460957.666585647967	1.55E-8	9.9E-9	2.24E-8	1.4799998999E0
2460957.666678240523	1.89E-8	1.32E-8	1.71E-8	1.4599999189E0	2460957.666678240523	2.8E-9	9.8E-9	2.1E-8	1.5199998617E0
2460957.666782407556	2.09E-8	1.04E-8	2.13E-8	4.0399999619E0	2460957.666782407556	1.96E-8	8.7E-9	1.7E-8	3.7799999714E0
2460957.666875000112	1.7E-8	7.8E-9	2.6E-8	2.4800000191E0	2460957.666875000112	2.14E-8	5.0E-9	2.36E-8	1.3999998569E0
2460957.666921296157	1.76E-8	7.9E-9	1.89E-8	2.379999876E0	2460957.666921296157	1.46E-8	1.21E-8	1.6E-8	1.2599998713E0
2460957.667118055746	1.65E-8	1.08E-8	2.34E-8	3.3599998951E0	2460957.667118055746	1.64E-8	7.4E-9	2.21E-8	1.560000062E0
2460957.667175925802	2.06E-8	6.2E-9	2.42E-8	2.1999998093E0	2460957.667175925802	1.49E-8	1.13E-8	2.23E-8	1.4799998999E0
2460957.667268518358	1.55E-8	5.8E-9	2.79E-8	2.5199999809E0	2460957.667268518358	1.5E-8	1.2E-8	1.81E-8	1.6799999475E0
2460957.667372685391	1.9E-8	6.8E-9	2.55E-8	2.379999876E0	2460957.667372685391	1.87E-8	1.08E-8	1.7E-8	1.7399998903E0
2460957.667418981437	1.45E-8	7.8E-9	2.85E-8	2.5E0	2460957.667418981437	1.42E-8	5.3E-9	3.11E-8	1.6000000238E0
2460957.667511573993	1.66E-8	7.4E-9	1.93E-8	2.1199998856E0	2460957.667511573993	2.21E-8	7.3E-9	2.37E-8	1.4199999571E0
2460957.667569444515	1.89E-8	7.0E-9	1.7E-8	2.1199998856E0	2460957.667569444515	1.81E-8	6.8E-9	2.35E-8	2.6399998665E0
2460957.667662037071	1.53E-8	7.9E-9	1.81E-8	1.2999999523E0	2460957.667662037071	1.7E-8	8.8E-9	2.27E-8	3.3999998569E0
2460957.667719907593	2.07E-8	8.3E-9	2.71E-8	1.879999876E0	2460957.667719907593	1.86E-8	9.0E-9	2.01E-8	2.3399999142E0
2460957.667812500149	1.91E-8	7.4E-9	2.57E-8	2.2999999523E0	2460957.667812500149	1.73E-8	1.12E-8	1.83E-8	1.9999998808E0
2460957.667870370205	1.7E-8	9.8E-9	1.46E-8	2.0199999809E0	2460957.667870370205	1.67E-8	1.08E-8	1.22E-8	1.4199999571E0
2460957.668159722351	1.8E-8	5.2E-9	2.99E-8	2.2799999714E0	2460957.668159722351	1.5E-8	5.5E-9	2.48E-8	1.4799998999E0
2460957.668206018396	1.45E-8	1.16E-8	2.64E-8	1.7199999094E0	2460957.668206018396	1.56E-8	1.28E-8	2.18E-8	1.3199999332E0
2460957.668263888918	1.65E-8	7.6E-9	2.17E-8	1.9999998808E0	2460957.668263888918	1.78E-8	7.6E-9	2.14E-8	1.0399999619E0
2460957.668310184963	1.57E-8	9.7E-9	2.22E-8	2.8399999142E0	2460957.668310184963	1.66E-8	1.25E-8	2.07E-8	1.4600000381E0
2460957.668356481474	1.63E-8	1.08E-8	2.52E-8	1.4199999571E0	2460957.668356481474	1.23E-8	6.5E-9	2.69E-8	1.9999998808E0
2460957.668402777985	1.65E-8	7.1E-9	2.85E-8	1.3999999762E0	2460957.668402777985	1.55E-8	7.4E-9	2.17E-8	1.5800000429E0
2460957.668460648041	1.83E-8	7.4E-9	2.96E-8	1.9199999571E0	2460957.668460648041	1.81E-8	8.0E-9	1.65E-8	1.9600000381E0
2460957.668657407630	2.08E-8	4.7E-9	1.91E-8	1.439999938E0	2460957.668657407630	2.06E-8	9.0E-9	1.82E-8	1.3999998569E0
2460957.668900462799	1.85E-8	9.0E-9	2.26E-8	2.5799999237E0	2460957.668900462799	1.87E-8	7.9E-9	2.07E-8	2.8599998951E0
2460957.668993055355	1.93E-8	3.8E-9	2.18E-8	1.4999998808E0	2460957.668993055355	1.7E-8	1.03E-8	2.58E-8	1.3399999142E0
2460957.669050925877	1.87E-8	1.27E-8	1.74E-8	1.1999999285E0	2460957.669050925877	1.61E-8	3.1E-9	2.61E-8	1.5999999046E0
2460957.669143518433	2.12E-8	7.7E-9	2.39E-8	1.5999999046E0	2460957.669143518433	1.53E-8	6.0E-9	1.82E-8	1.4199999571E0
2460957.669293981511	1.66E-8	6.6E-9	2.91E-8	1.5599999428E0	2460957.669293981511	1.25E-8	7.6E-9	1.68E-8	1.6599999666E0
2460957.669537037145	1.78E-8	8.9E-9	2.68E-8	2.5999999046E0	2460957.669537037145	1.56E-8	1.07E-8	2.11E-8	1.2199999094E0
2460957.669594907202	1.89E-8	1.04E-8	2.01E-8	2.2200000286E0	2460957.669594907202	2.1E-8	9.3E-9	2.15E-8	1.3399999142E0
2460957.669641203713	1.81E-8	1.01E-8	2.56E-8	4.0999999046E0	2460957.669641203713	1.67E-8	9.7E-9	1.67E-8	2.9199998379E0
2460957.669745370280	1.81E-8	6.3E-9	2.0E-8	1.9999998808E0	2460957.669745370280	1.66E-8	8.1E-9	1.68E-8	1.1399998665E0
2460957.669837962836	1.96E-8	8.6E-9	2.32E-8	1.9999998808E0	2460957.669837962836	1.81E-8	9.1E-9	2.66E-8	1.9599999189E0
2460957.669895833358	1.65E-8	7.1E-9	2.61E-8	1.5599999428E0	2460957.669895833358	1.65E-8	1.2E-8	1.98E-8	1.6799999475E0
2460957.669942129403	1.56E-8	1.24E-8	1.53E-8	1.1999999285E0	2460957.669942129403	1.65E-8	7.0E-9	2.44E-8	2.6799998283E0
2460957.670092592482	1.69E-8	6.1E-9	3.39E-8	2.0599999428E0	2460957.670092592482	1.37E-8	9.1E-9	1.67E-8	1.0399999619E0
2460957.670138888992	1.77E-8	7.1E-9	2.22E-8	1.939999938E0	2460957.670138888992	1.63E-8	7.8E-9	2.7E-8	2.9599997997E0
2460957.670335648116	1.85E-8	9.5E-9	2.0E-8	3.3399999142E0	2460957.670335648116	1.82E-8	8.3E-9	2.43E-8	1.3999998569E0
2460957.670381944627	1.85E-8	6.0E-9	2.09E-8	3.2200000286E0	2460957.670381944627	1.88E-8	1.06E-8	1.77E-8	2.6399998665E0
2460957.670486111194	1.63E-8	9.7E-9	2.54E-8	2.1199998856E0	2460957.670486111194	1.25E-8	6.8E-9	2.09E-8	1.9999998808E0
2460957.670578703750	1.74E-8	6.2E-9	2.69E-8	1.8399999142E0	2460957.670578703750	1.65E-8	6.9E-9	1.87E-8	1.7599998713E0
2460957.670636574272	1.71E-8	6.5E-9	2.36E-8	1.6799999475E0	2460957.670636574272	1.84E-8	8.2E-9	2.35E-8	1.5599999428E0
2460957.670775462873	1.57E-8	9.3E-9	2.05E-8	2.6999998093E0	2460957.670775462873	1.38E-8	1.37E-8	1.64E-8	1.379999876E0
2460957.670879629441	1.94E-8	4.3E-9	1.74E-8	1.9999998808E0	2460957.670879629441	1.65E-8	1.06E-8	1.6E-8	1.5399999619E0
2460957.670925925951	1.63E-8	6.6E-9	2.66E-8	1.1999999285E0	2460957.670925925951	1.53E-8	8.4E-9	2.12E-8	1.4599999189E0
2460957.670972221997	1.83E-8	1.05E-8	1.99E-8	2.1599998474E0	2460957.670972221997	1.66E-8	6.1E-9	2.51E-8	2.2599999905E0
2460957.671030092519	1.89E-8	1.29E-8	1.58E-8	1.379999876E0	2460957.671030092519	1.67E-8	7.7E-9	2.64E-8	1.3199999332E0
2460957.671122685075	1.82E-8	8.8E-9	2.49E-8	1.1199998856E0	2460957.671122685075	1.56E-8	8.4E-9	2.01E-8	2.2400000095E0
2460957.671469907276	1.57E-8	1.2E-8	1.62E-8	2.0399999619E0	2460957.671469907276	1.75E-8	8.3E-9	1.71E-8	1.2999999523E0
2460957.671516203787	1.25E-8	9.9E-9	2.65E-8	1.3399999142E0	2460957.671516203787	1.5E-8	8.9E-9	1.97E-8	1.9199999571E0
2460957.671562499832	2.2E-8	1.43E-8	2.98E-8	1.4599999189E0	2460957.671562499832	2.0E-8	4.6E-9	2.69E-8	1.7199999094E0
2460957.671620370355	1.47E-8	1.15E-8	1.76E-8	1.9599999189E0	2460957.671620370355	2.0E-8	1.03E-8	2.23E-8	1.0999999046E0
2460957.671666666865	1.57E-8	1.07E-8	2.01E-8	1.4199999571E0	2460957.671666666865	2.25E-8	8.6E-9	2.07E-8	2.5999999046E0
2460957.671712962911	2.08E-8	7.9E-9	2.35E-8	1.7599998713E0	2460957.671712962911	2.04E-8	7.6E-9	1.98E-8	1.1599999666E0
